comp-char	common-char	comp-code	common-code	level	flag
嬈	嬈	U+2F869	U+5B08	#	
嬾	嬾	U+2F86A	U+5B3E	#	
嬾	嬾	U+2F86B	U+5B3E	#	
𡧈	𡧈	U+2F86C	U+219C8	B	
寃	寃	U+2F86D	U+5BC3	#	
寘	寘	U+2F86E	U+5BD8	#	
寧	寧	U+2F86F	U+5BE7	#	
寳	寳	U+2F870	U+5BF3	#	
𡬘	𡬘	U+2F871	U+21B18	B	
寿	寿	U+2F872	U+5BFF	#	
将	将	U+2F873	U+5C06	#	
当	当	U+2F874	U+5F53	#	
尢	尢	U+2F875	U+5C22	#	
㞁	㞁	U+2F876	U+3781	A	
屠	屠	U+2F877	U+5C60	#	
屮	屮	U+2F878	U+5C6E	#	
峀	峀	U+2F879	U+5CC0	#	
岍	岍	U+2F87A	U+5C8D	#	
𡷤	𡷤	U+2F87B	U+21DE4	B	
嵃	嵃	U+2F87C	U+5D43	#	
𡷦	𡷦	U+2F87D	U+21DE6	B	
嵮	嵮	U+2F87E	U+5D6E	#	
嵫	嵫	U+2F87F	U+5D6B	#	
嵼	嵼	U+2F880	U+5D7C	#	
巡	巡	U+2F881	U+5DE1	#	
巢	巢	U+2F882	U+5DE2	#	
㠯	㠯	U+2F883	U+382F	A	
巽	巽	U+2F884	U+5DFD	#	
帨	帨	U+2F885	U+5E28	#	
帽	帽	U+2F886	U+5E3D	#	
幩	幩	U+2F887	U+5E69	#	
㡢	㡢	U+2F888	U+3862	A	
𢆃	𢆃	U+2F889	U+22183	B	
㡼	㡼	U+2F88A	U+387C	A	
庰	庰	U+2F88B	U+5EB0	#	
庳	庳	U+2F88C	U+5EB3	#	
庶	庶	U+2F88D	U+5EB6	#	
廊	廊	U+2F88E	U+5ECA	#	
𪎒	𪎒	U+2F88F	U+2A392	B	
廾	廾	U+2F890	U+5EFE	#	
𢌱	𢌱	U+2F891	U+22331	B	
𢌱	𢌱	U+2F892	U+22331	B	
舁	舁	U+2F893	U+8201	#	
弢	弢	U+2F894	U+5F22	#	
弢	弢	U+2F895	U+5F22	#	
㣇	㣇	U+2F896	U+38C7	A	
𣊸	𣊸	U+2F897	U+232B8	B	
𦇚	𦇚	U+2F898	U+261DA	B	
形	形	U+2F899	U+5F62	#	
彫	彫	U+2F89A	U+5F6B	#	
㣣	㣣	U+2F89B	U+38E3	A	
徚	徚	U+2F89C	U+5F9A	#	
忍	忍	U+2F89D	U+5FCD	#	
志	志	U+2F89E	U+5FD7	#	
忹	忹	U+2F89F	U+5FF9	#	
悁	悁	U+2F8A0	U+6081	#	
㤺	㤺	U+2F8A1	U+393A	A	
㤜	㤜	U+2F8A2	U+391C	A	
悔	悔	U+2F8A3	U+6094	#	
𢛔	𢛔	U+2F8A4	U+226D4	B	
惇	惇	U+2F8A5	U+60C7	#	
慈	慈	U+2F8A6	U+6148	#	
慌	慌	U+2F8A7	U+614C	#	
慎	慎	U+2F8A8	U+614E	#	
慌	慌	U+2F8A9	U+614C	#	
慺	慺	U+2F8AA	U+617A	#	
憎	憎	U+2F8AB	U+618E	#	
憲	憲	U+2F8AC	U+61B2	#	
憤	憤	U+2F8AD	U+61A4	#	
憯	憯	U+2F8AE	U+61AF	#	
懞	懞	U+2F8AF	U+61DE	#	
懲	懲	U+2F8B0	U+61F2	#	
懶	懶	U+2F8B1	U+61F6	#	
成	成	U+2F8B2	U+6210	#	
戛	戛	U+2F8B3	U+621B	#	
扝	扝	U+2F8B4	U+625D	#	
抱	抱	U+2F8B5	U+62B1	#	
拔	拔	U+2F8B6	U+62D4	#	
捐	捐	U+2F8B7	U+6350	#	
𢬌	𢬌	U+2F8B8	U+22B0C	B	
挽	挽	U+2F8B9	U+633D	#	
拼	拼	U+2F8BA	U+62FC	#	
捨	捨	U+2F8BB	U+6368	#	
掃	掃	U+2F8BC	U+6383	#	
揤	揤	U+2F8BD	U+63E4	#	
𢯱	𢯱	U+2F8BE	U+22BF1	B	
搢	搢	U+2F8BF	U+6422	#	
揅	揅	U+2F8C0	U+63C5	#	
掩	掩	U+2F8C1	U+63A9	#	
㨮	㨮	U+2F8C2	U+3A2E	A	
摩	摩	U+2F8C3	U+6469	#	
摾	摾	U+2F8C4	U+647E	#	
撝	撝	U+2F8C5	U+649D	#	
摷	摷	U+2F8C6	U+6477	#	
㩬	㩬	U+2F8C7	U+3A6C	A	
敏	敏	U+2F8C8	U+654F	#	
敬	敬	U+2F8C9	U+656C	#	
𣀊	𣀊	U+2F8CA	U+2300A	B	
旣	旣	U+2F8CB	U+65E3	#	
書	書	U+2F8CC	U+66F8	#	
晉	晉	U+2F8CD	U+6649	#	
㬙	㬙	U+2F8CE	U+3B19	A	
暑	暑	U+2F8CF	U+6691	#	
㬈	㬈	U+2F8D0	U+3B08	A	
㫤	㫤	U+2F8D1	U+3AE4	A	
冒	冒	U+2F8D2	U+5192	#	
冕	冕	U+2F8D3	U+5195	#	
最	最	U+2F8D4	U+6700	#	
暜	暜	U+2F8D5	U+669C	#	
肭	肭	U+2F8D6	U+80AD	#	
䏙	䏙	U+2F8D7	U+43D9	A	
朗	朗	U+2F8D8	U+6717	#	
望	望	U+2F8D9	U+671B	#	
朡	朡	U+2F8DA	U+6721	#	
杞	杞	U+2F8DB	U+675E	#	
杓	杓	U+2F8DC	U+6753	#	
𣏃	𣏃	U+2F8DD	U+233C3	B	
㭉	㭉	U+2F8DE	U+3B49	A	
柺	柺	U+2F8DF	U+67FA	#	
枅	枅	U+2F8E0	U+6785	#	
桒	桒	U+2F8E1	U+6852	#	
梅	梅	U+2F8E2	U+6885	#	
𣑭	𣑭	U+2F8E3	U+2346D	B	
梎	梎	U+2F8E4	U+688E	#	
栟	栟	U+2F8E5	U+681F	#	
椔	椔	U+2F8E6	U+6914	#	
㮝	㮝	U+2F8E7	U+3B9D	A	
楂	楂	U+2F8E8	U+6942	#	
榣	榣	U+2F8E9	U+69A3	#	
槪	槪	U+2F8EA	U+69EA	#	
檨	檨	U+2F8EB	U+6AA8	#	
𣚣	𣚣	U+2F8EC	U+236A3	B	
櫛	櫛	U+2F8ED	U+6ADB	#	
㰘	㰘	U+2F8EE	U+3C18	A	
次	次	U+2F8EF	U+6B21	#	
𣢧	𣢧	U+2F8F0	U+238A7	B	
歔	歔	U+2F8F1	U+6B54	#	
㱎	㱎	U+2F8F2	U+3C4E	A	
歲	歲	U+2F8F3	U+6B72	#	
殟	殟	U+2F8F4	U+6B9F	#	
殺	殺	U+2F8F5	U+6BBA	#	
殻	殻	U+2F8F6	U+6BBB	#	
𣪍	𣪍	U+2F8F7	U+23A8D	B	
𡴋	𡴋	U+2F8F8	U+21D0B	B	
𣫺	𣫺	U+2F8F9	U+23AFA	B	
汎	汎	U+2F8FA	U+6C4E	#	
𣲼	𣲼	U+2F8FB	U+23CBC	B	
沿	沿	U+2F8FC	U+6CBF	#	
泍	泍	U+2F8FD	U+6CCD	#	
汧	汧	U+2F8FE	U+6C67	#	
洖	洖	U+2F8FF	U+6D16	#	
派	派	U+2F900	U+6D3E	#	
海	海	U+2F901	U+6D77	#	
流	流	U+2F902	U+6D41	#	
浩	浩	U+2F903	U+6D69	#	
浸	浸	U+2F904	U+6D78	#	
涅	涅	U+2F905	U+6D85	#	
𣴞	𣴞	U+2F906	U+23D1E	B	
洴	洴	U+2F907	U+6D34	#	
港	港	U+2F908	U+6E2F	#	
湮	湮	U+2F909	U+6E6E	#	
㴳	㴳	U+2F90A	U+3D33	A	
滋	滋	U+2F90B	U+6ECB	#	
滇	滇	U+2F90C	U+6EC7	#	
𣻑	𣻑	U+2F90D	U+23ED1	B	
淹	淹	U+2F90E	U+6DF9	#	
潮	潮	U+2F90F	U+6F6E	#	
𣽞	𣽞	U+2F910	U+23F5E	B	
𣾎	𣾎	U+2F911	U+23F8E	B	
濆	濆	U+2F912	U+6FC6	#	
瀹	瀹	U+2F913	U+7039	#	
瀞	瀞	U+2F914	U+701E	#	
瀛	瀛	U+2F915	U+701B	#	
㶖	㶖	U+2F916	U+3D96	A	
灊	灊	U+2F917	U+704A	#	
災	災	U+2F918	U+707D	#	
灷	灷	U+2F919	U+7077	#	
炭	炭	U+2F91A	U+70AD	#	
𠔥	𠔥	U+2F91B	U+20525	B	
煅	煅	U+2F91C	U+7145	#	
𤉣	𤉣	U+2F91D	U+24263	B	
熜	熜	U+2F91E	U+719C	#	
𤎫	𤎫	U+2F91F	U+243AB	B	
爨	爨	U+2F920	U+7228	#	
爵	爵	U+2F921	U+7235	#	
牐	牐	U+2F922	U+7250	#	
𤘈	𤘈	U+2F923	U+24608	B	
犀	犀	U+2F924	U+7280	#	
犕	犕	U+2F925	U+7295	#	
𤜵	𤜵	U+2F926	U+24735	B	
𤠔	𤠔	U+2F927	U+24814	B	
獺	獺	U+2F928	U+737A	#	
王	王	U+2F929	U+738B	#	
㺬	㺬	U+2F92A	U+3EAC	A	
玥	玥	U+2F92B	U+73A5	#	
㺸	㺸	U+2F92C	U+3EB8	A	
㺸	㺸	U+2F92D	U+3EB8	A	
瑇	瑇	U+2F92E	U+7447	#	
瑜	瑜	U+2F92F	U+745C	#	
瑱	瑱	U+2F930	U+7471	#	
璅	璅	U+2F931	U+7485	#	
瓊	瓊	U+2F932	U+74CA	#	
㼛	㼛	U+2F933	U+3F1B	A	
甤	甤	U+2F934	U+7524	#	
𤰶	𤰶	U+2F935	U+24C36	B	
甾	甾	U+2F936	U+753E	#	
𤲒	𤲒	U+2F937	U+24C92	B	
異	異	U+2F938	U+7570	#	
𢆟	𢆟	U+2F939	U+2219F	B	
瘐	瘐	U+2F93A	U+7610	#	
𤾡	𤾡	U+2F93B	U+24FA1	B	
𤾸	𤾸	U+2F93C	U+24FB8	B	
𥁄	𥁄	U+2F93D	U+25044	B	
㿼	㿼	U+2F93E	U+3FFC	A	
䀈	䀈	U+2F93F	U+4008	A	
直	直	U+2F940	U+76F4	#	
𥃳	𥃳	U+2F941	U+250F3	B	
𥃲	𥃲	U+2F942	U+250F2	B	
𥄙	𥄙	U+2F943	U+25119	B	
𥄳	𥄳	U+2F944	U+25133	B	
眞	眞	U+2F945	U+771E	#	
真	真	U+2F946	U+771F	#	
真	真	U+2F947	U+771F	#	
睊	睊	U+2F948	U+774A	#	
䀹	䀹	U+2F949	U+4039	A	
瞋	瞋	U+2F94A	U+778B	#	
䁆	䁆	U+2F94B	U+4046	A	
䂖	䂖	U+2F94C	U+4096	A	
𥐝	𥐝	U+2F94D	U+2541D	B	
硎	硎	U+2F94E	U+784E	#	
碌	碌	U+2F94F	U+788C	#	
磌	磌	U+2F950	U+78CC	#	
䃣	䃣	U+2F951	U+40E3	A	
𥘦	𥘦	U+2F952	U+25626	B	
祖	祖	U+2F953	U+7956	#	
𥚚	𥚚	U+2F954	U+2569A	B	
𥛅	𥛅	U+2F955	U+256C5	B	
福	福	U+2F956	U+798F	#	
秫	秫	U+2F957	U+79EB	#	
䄯	䄯	U+2F958	U+412F	A	
穀	穀	U+2F959	U+7A40	#	
穊	穊	U+2F95A	U+7A4A	#	
穏	穏	U+2F95B	U+7A4F	#	
𥥼	𥥼	U+2F95C	U+2597C	B	
𥪧	𥪧	U+2F95D	U+25AA7	B	
𥪧	𥪧	U+2F95E	U+25AA7	B	
竮	竮	U+2F95F	U+7AEE	#	
䈂	䈂	U+2F960	U+4202	A	
𥮫	𥮫	U+2F961	U+25BAB	B	
篆	篆	U+2F962	U+7BC6	#	
築	築	U+2F963	U+7BC9	#	
䈧	䈧	U+2F964	U+4227	A	
𥲀	𥲀	U+2F965	U+25C80	B	
糒	糒	U+2F966	U+7CD2	#	
䊠	䊠	U+2F967	U+42A0	A	
糨	糨	U+2F968	U+7CE8	#	
糣	糣	U+2F969	U+7CE3	#	
紀	紀	U+2F96A	U+7D00	#	
𥾆	𥾆	U+2F96B	U+25F86	B	
絣	絣	U+2F96C	U+7D63	#	
䌁	䌁	U+2F96D	U+4301	A	
緇	緇	U+2F96E	U+7DC7	#	
縂	縂	U+2F96F	U+7E02	#	
繅	繅	U+2F970	U+7E45	#	
䌴	䌴	U+2F971	U+4334	A	
𦈨	𦈨	U+2F972	U+26228	B	
𦉇	𦉇	U+2F973	U+26247	B	
䍙	䍙	U+2F974	U+4359	A	
𦋙	𦋙	U+2F975	U+262D9	B	
罺	罺	U+2F976	U+7F7A	#	
𦌾	𦌾	U+2F977	U+2633E	B	
羕	羕	U+2F978	U+7F95	#	
翺	翺	U+2F979	U+7FFA	#	
者	者	U+2F97A	U+8005	#	
𦓚	𦓚	U+2F97B	U+264DA	B	
𦔣	𦔣	U+2F97C	U+26523	B	
聠	聠	U+2F97D	U+8060	#	
𦖨	𦖨	U+2F97E	U+265A8	B	
聰	聰	U+2F97F	U+8070	#	
𣍟	𣍟	U+2F980	U+2335F	B	
䏕	䏕	U+2F981	U+43D5	A	
育	育	U+2F982	U+80B2	#	
脃	脃	U+2F983	U+8103	#	
䐋	䐋	U+2F984	U+440B	A	
脾	脾	U+2F985	U+813E	#	
媵	媵	U+2F986	U+5AB5	#	
𦞧	𦞧	U+2F987	U+267A7	B	
𦞵	𦞵	U+2F988	U+267B5	B	
𣎓	𣎓	U+2F989	U+23393	B	
𣎜	𣎜	U+2F98A	U+2339C	B	
舁	舁	U+2F98B	U+8201	#	
舄	舄	U+2F98C	U+8204	#	
辞	辞	U+2F98D	U+8F9E	#	
䑫	䑫	U+2F98E	U+446B	A	
芑	芑	U+2F98F	U+8291	#	
芋	芋	U+2F990	U+828B	#	
芝	芝	U+2F991	U+829D	#	
劳	劳	U+2F992	U+52B3	#	
花	花	U+2F993	U+82B1	#	
芳	芳	U+2F994	U+82B3	#	
芽	芽	U+2F995	U+82BD	#	
苦	苦	U+2F996	U+82E6	#	
𦬼	𦬼	U+2F997	U+26B3C	B	
若	若	U+2F998	U+82E5	#	
茝	茝	U+2F999	U+831D	#	
荣	荣	U+2F99A	U+8363	#	
莭	莭	U+2F99B	U+83AD	#	
茣	茣	U+2F99C	U+8323	#	
莽	莽	U+2F99D	U+83BD	#	
菧	菧	U+2F99E	U+83E7	#	
著	著	U+2F99F	U+8457	#	
荓	荓	U+2F9A0	U+8353	#	
菊	菊	U+2F9A1	U+83CA	#	
菌	菌	U+2F9A2	U+83CC	#	
菜	菜	U+2F9A3	U+83DC	#	
𦰶	𦰶	U+2F9A4	U+26C36	B	
𦵫	𦵫	U+2F9A5	U+26D6B	B	
𦳕	𦳕	U+2F9A6	U+26CD5	B	
䔫	䔫	U+2F9A7	U+452B	A	
蓱	蓱	U+2F9A8	U+84F1	#	
蓳	蓳	U+2F9A9	U+84F3	#	
蔖	蔖	U+2F9AA	U+8516	#	
𧏊	𧏊	U+2F9AB	U+273CA	B	
蕤	蕤	U+2F9AC	U+8564	#	
𦼬	𦼬	U+2F9AD	U+26F2C	B	
䕝	䕝	U+2F9AE	U+455D	A	
䕡	䕡	U+2F9AF	U+4561	A	
𦾱	𦾱	U+2F9B0	U+26FB1	B	
𧃒	𧃒	U+2F9B1	U+270D2	B	
䕫	䕫	U+2F9B2	U+456B	A	
虐	虐	U+2F9B3	U+8650	#	
虜	虜	U+2F9B4	U+865C	#	
虧	虧	U+2F9B5	U+8667	#	
虩	虩	U+2F9B6	U+8669	#	
蚩	蚩	U+2F9B7	U+86A9	#	
蚈	蚈	U+2F9B8	U+8688	#	
蜎	蜎	U+2F9B9	U+870E	#	
蛢	蛢	U+2F9BA	U+86E2	#	
蝹	蝹	U+2F9BB	U+8779	#	
蜨	蜨	U+2F9BC	U+8728	#	
蝫	蝫	U+2F9BD	U+876B	#	
螆	螆	U+2F9BE	U+8786	#	
䗗	䗗	U+2F9BF	U+45D7	A	
蟡	蟡	U+2F9C0	U+87E1	#	
蠁	蠁	U+2F9C1	U+8801	#	
䗹	䗹	U+2F9C2	U+45F9	A	
衠	衠	U+2F9C3	U+8860	#	
衣	衣	U+2F9C4	U+8863	#	
𧙧	𧙧	U+2F9C5	U+27667	B	
裗	裗	U+2F9C6	U+88D7	#	
裞	裞	U+2F9C7	U+88DE	#	
䘵	䘵	U+2F9C8	U+4635	A	
裺	裺	U+2F9C9	U+88FA	#	
㒻	㒻	U+2F9CA	U+34BB	A	
𧢮	𧢮	U+2F9CB	U+278AE	B	
𧥦	𧥦	U+2F9CC	U+27966	B	
䚾	䚾	U+2F9CD	U+46BE	A	
䛇	䛇	U+2F9CE	U+46C7	A	
誠	誠	U+2F9CF	U+8AA0	#	
諭	諭	U+2F9D0	U+8AED	#	
變	變	U+2F9D1	U+8B8A	#	
豕	豕	U+2F9D2	U+8C55	#	
𧲨	𧲨	U+2F9D3	U+27CA8	B	
貫	貫	U+2F9D4	U+8CAB	#	
賁	賁	U+2F9D5	U+8CC1	#	
贛	贛	U+2F9D6	U+8D1B	#	
起	起	U+2F9D7	U+8D77	#	
𧼯	𧼯	U+2F9D8	U+27F2F	B	
𠠄	𠠄	U+2F9D9	U+20804	B	
跋	跋	U+2F9DA	U+8DCB	#	
趼	趼	U+2F9DB	U+8DBC	#	
跰	跰	U+2F9DC	U+8DF0	#	
𠣞	𠣞	U+2F9DD	U+208DE	B	
軔	軔	U+2F9DE	U+8ED4	#	
輸	輸	U+2F9DF	U+8F38	#	
𨗒	𨗒	U+2F9E0	U+285D2	B	
𨗭	𨗭	U+2F9E1	U+285ED	B	
邔	邔	U+2F9E2	U+9094	#	
郱	郱	U+2F9E3	U+90F1	#	
鄑	鄑	U+2F9E4	U+9111	#	
𨜮	𨜮	U+2F9E5	U+2872E	B	
鄛	鄛	U+2F9E6	U+911B	#	
鈸	鈸	U+2F9E7	U+9238	#	
鋗	鋗	U+2F9E8	U+92D7	#	
鋘	鋘	U+2F9E9	U+92D8	#	
鉼	鉼	U+2F9EA	U+927C	#	
鏹	鏹	U+2F9EB	U+93F9	#	
鐕	鐕	U+2F9EC	U+9415	#	
𨯺	𨯺	U+2F9ED	U+28BFA	B	
開	開	U+2F9EE	U+958B	#	
䦕	䦕	U+2F9EF	U+4995	A	
閷	閷	U+2F9F0	U+95B7	#	
𨵷	𨵷	U+2F9F1	U+28D77	B	
䧦	䧦	U+2F9F2	U+49E6	A	
雃	雃	U+2F9F3	U+96C3	#	
嶲	嶲	U+2F9F4	U+5DB2	#	
霣	霣	U+2F9F5	U+9723	#	
𩅅	𩅅	U+2F9F6	U+29145	B	
𩈚	𩈚	U+2F9F7	U+2921A	B	
䩮	䩮	U+2F9F8	U+4A6E	A	
䩶	䩶	U+2F9F9	U+4A76	A	
韠	韠	U+2F9FA	U+97E0	#	
𩐊	𩐊	U+2F9FB	U+2940A	B	
䪲	䪲	U+2F9FC	U+4AB2	A	
𩒖	𩒖	U+2F9FD	U+29496	B	
頋	頋	U+2F9FE	U+980B	#	
頋	頋	U+2F9FF	U+980B	#	
頩	頩	U+2FA00	U+9829	#	
𩖶	𩖶	U+2FA01	U+295B6	B	
飢	飢	U+2FA02	U+98E2	#	
䬳	䬳	U+2FA03	U+4B33	A	
餩	餩	U+2FA04	U+9929	#	
馧	馧	U+2FA05	U+99A7	#	
駂	駂	U+2FA06	U+99C2	#	
駾	駾	U+2FA07	U+99FE	#	
䯎	䯎	U+2FA08	U+4BCE	A	
𩬰	𩬰	U+2FA09	U+29B30	B	
鬒	鬒	U+2FA0A	U+9B12	#	
鱀	鱀	U+2FA0B	U+9C40	#	
鳽	鳽	U+2FA0C	U+9CFD	#	
䳎	䳎	U+2FA0D	U+4CCE	A	
䳭	䳭	U+2FA0E	U+4CED	A	
鵧	鵧	U+2FA0F	U+9D67	#	
𪃎	𪃎	U+2FA10	U+2A0CE	B	
䳸	䳸	U+2FA11	U+4CF8	A	
𪄅	𪄅	U+2FA12	U+2A105	B	
𪈎	𪈎	U+2FA13	U+2A20E	B	
𪊑	𪊑	U+2FA14	U+2A291	B	
麻	麻	U+2FA15	U+9EBB	#	
䵖	䵖	U+2FA16	U+4D56	A	
黹	黹	U+2FA17	U+9EF9	#	
黾	黾	U+2FA18	U+9EFE	#	
鼅	鼅	U+2FA19	U+9F05	#	
鼏	鼏	U+2FA1A	U+9F0F	#	
鼖	鼖	U+2FA1B	U+9F16	#	
鼻	鼻	U+2FA1C	U+9F3B	#	
𪘀	𪘀	U+2FA1D	U+2A600	B	
